especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
mexerica,1.20548582054858,3.89915966386555,0.615372549019608,0.195428571428571,0.302207282913165,0.961602240896358,1.80675630252101,0.92
mexerica,0.912753757942042,3.6078431372549,0.549669467787115,0.185467787114846,0.273176470588235,0.917176470588235,1.55201120448179,0.917
mexerica,1.64156206415621,6.86834733893557,0.77678431372549,0.42618487394958,0.00769747899159664,1.52894117647059,3.0576918767507,0.973
mexerica,0.864094219742755,2.90196078431373,0.484941176470588,0.0936918767507003,0.352056022408964,0.656672268907563,1.25187675070028,0.821
mexerica,0.567797923446459,2.6218487394958,0.413467787114846,0.111731092436975,0.256403361344538,0.645658263305322,1.108918767507,0.875
mexerica,0.62079652874632,2.90196078431373,0.433075630252101,0.154397759103641,0.163943977591036,0.710095238095238,1.36693557422969,0.931
mexerica,0.667131566713157,3.35014005602241,0.485478991596639,0.187596638655462,0.190151260504202,0.840739495798319,1.37935014005602,0.924
mexerica,1.29815589648226,3.83193277310924,0.603406162464986,0.168280112044818,0.373210084033613,0.935988795518207,1.74388795518207,0.894
mexerica,1.76429567642957,4.36974789915966,0.697803921568627,0.189389355742297,0.406408963585434,1.05926050420168,1.9940056022409,0.886
mexerica,0.990082132341547,3.68627450980392,0.552571428571429,0.169322128851541,0.289378151260504,0.908481792717087,1.51282913165266,0.891
mexerica,0.554160855416086,3.00280112044818,0.428436974789916,0.152504201680672,0.126319327731092,0.709210084033613,1.2373781512605,0.902
mexerica,0.969161630249496,4.54901960784314,0.635058823529412,0.267787114845938,0.195932773109244,1.12836974789916,1.80273389355742,0.939
mexerica,0.617232295056563,2.72268907563025,0.418005602240896,0.123899159663866,0.241591036414566,0.644985994397759,1.2309243697479,0.906
mexerica,1.01642646830931,3.6078431372549,0.538263305322129,0.186957983193277,0.254408963585434,0.8656918767507,1.72373109243697,0.934
mexerica,1.00650860065086,3.66386554621849,0.560549019607843,0.167271708683473,0.352212885154062,0.911406162464986,1.50742857142857,0.885
mexerica,0.748334108166744,3.05882352941176,0.474240896358543,0.135394957983193,0.299563025210084,0.754072829131653,1.25546218487395,0.868
mexerica,0.551681388501472,2.49859943977591,0.391428571428571,0.114442577030812,0.229490196078431,0.610588235294118,1.15671708683473,0.904
mexerica,0.64822563148923,2.66666666666667,0.435540616246499,0.117915966386555,0.26152380952381,0.647294117647059,1.22166946778711,0.891
mexerica,2.30667906400124,5.89355742296919,0.774756302521008,0.139574229691877,0.438946778711485,1.11718767507003,1.64049299719888,0.295
mexerica,0.836510150317682,3.1484593837535,0.48581512605042,0.143966386554622,0.270498599439776,0.777624649859944,1.42592717086835,0.902
mexerica,1.07763830776383,3.89915966386555,0.597075630252101,0.192224089635854,0.331563025210084,0.989322128851541,1.58921008403361,0.893
mexerica,0.656748799008213,3.2156862745098,0.469310924369748,0.167226890756303,0.231675070028011,0.799249299719888,1.364,0.929
mexerica,1.10243297690996,4.10084033613445,0.600280112044818,0.204918767507003,0.28853781512605,0.997781512605042,1.71473389355742,0.916
mexerica,1.29769099643577,3.59663865546218,0.584571428571429,0.138633053221289,0.350857142857143,0.842274509803922,1.60402240896359,0.849
mexerica,0.566093289942662,2.93557422969188,0.454319327731092,0.160201680672269,0.207316526610644,0.769680672268908,1.25071148459384,0.922
mexerica,0.67797923446459,3.17086834733894,0.465355742296919,0.14684593837535,0.275070028011205,0.768885154061625,1.29418487394958,0.898
mexerica,0.774058577405858,3.51820728291317,0.548257703081233,0.207047619047619,0.200212885154062,0.941109243697479,1.52985994397759,0.934
mexerica,0.475437780877111,2.47619047619048,0.383607843137255,0.121467787114846,0.21109243697479,0.629747899159664,1.09247058823529,0.909
mexerica,0.814349914768325,3.38375350140056,0.508190476190476,0.165142857142857,0.213770308123249,0.824291316526611,1.37006162464986,0.885
mexerica,1.01890593522393,3.10364145658263,0.522039215686275,0.0956862745098039,0.39175350140056,0.702621848739496,1.33253781512605,0.805
cereja,0.919419273117022,3.81909547738693,0.58572864321608,0.189949748743719,0.289557788944724,0.941155778894472,1.79148743718593,0.923
cereja,1.27136314917665,4.2713567839196,0.677557788944724,0.183437185929648,0.426844221105528,1.07014070351759,1.89939698492462,0.883
cereja,1.0783396667641,4.57286432160804,0.668683417085427,0.235165829145729,0.348221105527638,1.13829145728643,1.99900502512563,0.933
cereja,0.763519438760596,3.7286432160804,0.555628140703518,0.184442211055276,0.301658291457286,0.915979899497487,1.60506532663317,0.918
cereja,0.40611906849849,2.72361809045226,0.405628140703518,0.136331658291457,0.228090452261307,0.676060301507538,1.17940703517588,0.92
cereja,0.547110981194582,3.42713567839196,0.494090452261307,0.200341708542714,0.192924623115578,0.863336683417085,1.61861306532663,0.959
cereja,1.07746273019585,3.95979899497487,0.620723618090452,0.170482412060302,0.40486432160804,0.947165829145729,1.76813065326633,0.889
cereja,1.04228783006918,4.15075376884422,0.675306532663317,0.22851256281407,0.336542713567839,1.07332663316583,1.98331658291457,0.936
cereja,1.30332261521972,4.87437185929648,0.70505527638191,0.241889447236181,0.380582914572864,1.16163819095477,2.21879396984925,0.936
cereja,1.02806197018416,4.38190954773869,0.649768844221106,0.229195979899497,0.330532663316583,1.08302512562814,1.93971859296482,0.931
cereja,0.403585696190198,2.32160804020101,0.378180904522613,0.0917185929648241,0.267195979899497,0.572281407035176,1.02004020100503,0.856
cereja,0.441878593003995,2.63316582914573,0.40043216080402,0.119175879396985,0.222522613065327,0.648090452261307,1.17202010050251,0.903
cereja,0.455714703303128,2.58291457286432,0.424060301507538,0.12972864321608,0.2098391959799,0.667396984924623,1.23086432160804,0.916
cereja,0.519146448406899,2.74371859296482,0.432010050251256,0.115939698492462,0.270964824120603,0.677989949748744,1.19977889447236,0.876
cereja,0.613758160381955,3.16582914572864,0.48121608040201,0.148170854271357,0.28329648241206,0.78694472361809,1.39398994974874,0.907
cereja,0.91688590080873,3.95979899497487,0.625718592964824,0.203608040201005,0.322844221105528,1.03497487437186,1.76390954773869,0.918
cereja,0.900808730390724,4.22110552763819,0.616603015075377,0.22243216080402,0.314211055276382,1.05596984924623,1.84559798994975,0.935
cereja,0.44840689856767,2.71356783919598,0.426603015075377,0.120100502512563,0.26043216080402,0.684110552763819,1.10607035175879,0.87
cereja,0.273117022313164,2.23115577889447,0.336311557788945,0.118603015075377,0.168633165829146,0.562763819095477,0.959618090452261,0.915
cereja,0.613855597778427,3.34673366834171,0.495025125628141,0.165226130653266,0.223125628140704,0.829608040201005,1.42597989949749,0.908
cereja,1.10026308097048,4.30150753768844,0.649165829145729,0.210251256281407,0.356522613065327,1.06533668341709,1.90873366834171,0.915
cereja,0.505212900711293,3.22613065326633,0.477829145728643,178,0.22408040201005,0.80121608040201,1.44013065326633,0.94
cereja,0.89467017441294,3.93969849246231,0.592341708542714,0.185195979899497,0.334603015075377,0.971356783919598,1.69050251256281,0.908
cereja,0.356718308486797,2.67336683417085,0.392150753768844,0.137467336683417,0.197477386934673,0.66486432160804,1.10749748743719,0.919
cereja,1.14099191269609,4.61306532663317,0.67713567839196,0.234160804020101,0.330130653266332,1.13201005025126,2.02877386934673,0.928
cereja,0.163012764298938,1.61809045226131,0.249557788944724,0.0775276381909548,0.13164824120603,0.40094472361809,0.720633165829146,0.907
cereja,0.309071421611615,2.20100502512563,0.336663316582915,0.0970552763819095,0.191256281407035,0.530050251256281,0.957386934673367,0.893
cereja,0.480366364610738,2.72361809045226,0.421879396984925,0.11521608040201,0.272964824120603,0.660693467336683,1.18230150753769,0.888
cereja,1.22001364123551,4.33165829145729,0.691195979899498,0.180613065326633,0.436381909547739,1.08357788944724,1.85163819095477,0.881
cereja,0.705446750462828,3.34673366834171,0.517085427135678,0.155336683417085,0.32270351758794,0.840753768844221,1.47532663316583,0.902
